小韻號	首字	反切	音韻地位	細分轄字
688	交	古肴	見開二肴平	
689	巢	鉏交	崇開二肴平	
690	鐃	女交	孃開二肴平	
691	梢	所交	生開二肴平	
692	茅	莫交	明二肴平	
693	虓	許交	曉開二肴平	
694	包	布交	幫二肴平	
695	胞	匹交	滂二肴平	
696	敲	口交	溪開二肴平	
697	聱	五交	疑開二肴平	
698	𦗔	側交	莊開二肴平	
699	嘲	陟交	知開二肴平	
700	䜈	楚交	初開二肴平	
701	庖	薄交	並二肴平	
702	䫜	於交	影開二肴平	
703	䫸	敕交	徹開二肴平	
704	顟	力嘲	來開二肴平	
705	䄻	直交	澄開二肴平	
706	豪	胡刀	匣開一豪平	
707	高	古勞	見開一豪平	
708	勞	魯刀	來開一豪平	
709	蒿	呼毛	曉開一豪平	
710	毛	莫袍	明一豪平	
711	饕	土刀	透開一豪平	
712	刀	都牢	端開一豪平	
713	騷	蘇遭	心開一豪平	
714	袍	薄襃	並一豪平	
715	襃	博毛	幫一豪平	
716	陶	徒刀	定開一豪平	
717	糟	作曹	精開一豪平	
718	敖	五勞	疑開一豪平	
719	曹	昨勞	從開一豪平	
720	𤏶	於刀	影開一豪平	
721	猱	奴刀	泥開一豪平	
722	尻	苦刀	溪開一豪平	
723	操	七刀	清開一豪平	
724	㯱	普袍	滂一豪平	
725	歌	古俄	見開一歌平	
726	蹉	七何	清開一歌平	
727	多	得何	端開一歌平	
728	娑	素何	心開一歌平	
729	駝	徒河	定開一歌平	
730	醝	昨何	從開一歌平	
731	莪	五何	疑開一歌平	
732	佗	託何	透開一歌平	
733	羅	魯何	來開一歌平	
734	那	諾何	泥開一歌平	
735	何	胡歌	匣開一歌平	
736	訶	虎何	曉開一歌平	
737	珂	苦何	溪開一歌平	
738	阿	烏何	影開一歌平	
739	戈	古禾	見合一歌平	
740	遳	七戈	清合一歌平	
741	𨹄	丁戈	端合一歌平	
742	莎	蘇禾	心合一歌平	
743	婆	薄波	並一歌平	
744	㸰	徒和	定合一歌平	
745	摩	莫婆	明一歌平	
746	矬	昨禾	從合一歌平	
747	訛	五禾	疑合一歌平	
748	詑	土禾	透合一歌平	
749	𩼊	落戈	來合一歌平	
750	捼	奴禾	泥合一歌平	
751	波	博禾	幫一歌平	
752	頗	滂禾	滂一歌平	
753	和	戶戈	匣合一歌平	
754	科	苦禾	溪合一歌平	
755	倭	烏禾	影合一歌平	
756	鞾	許𦚢	曉合三C歌平	
757	𦚢	於靴	影合三C歌平	
758	𩨷	去靴	溪合三C歌平	
759	伽	求迦	羣開三C歌平	
760	佉	丘伽	溪開三C歌平	
761	迦	居伽	見開三C歌平	
762	脞	醋伽	清合一歌平	
763	侳	子𩨷	精合一歌平	
764	瘸	巨靴	羣合三C歌平	
765	𦣛	縷𩨷	來合三歌平	
766	麻	莫霞	明二麻平	
